,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss
69,ff,2,2,11,y,45.13455128669739,47.13,1.9291805248578389
70,conv,2,2,8,y,86.645578622818,89.92666666666666,0.3379039990519484
71,ff,2,2,16,y,26.449379205703735,49.75,1.788743936951955
72,ff,2,1,3,n,22.8624267578125,59.04833333333333,1.6370567987918854
73,ff,2,2,5,y,19.80180072784424,36.291666666666664,2.049771606318156
74,ff,2,1,15,n,61.45607113838196,41.48166666666667,1.8435877002398173
75,conv,2,2,2,y,23.32440209388733,90.95666666666666,0.3074176111129423
76,ff,2,1,13,n,54.20839786529541,48.53666666666667,1.8227214466253916
77,ff,2,2,15,y,63.470550775527954,45.223333333333336,1.7046973602453868
78,conv,2,2,9,y,70.36731457710266,90.42666666666666,0.31699951833039525
79,conv,2,1,15,n,155.50897216796875,90.45166666666667,0.3205152146331966
80,ff,2,1,10,n,48.005733251571655,44.266666666666666,1.8077053840001425
81,conv,2,2,16,y,151.87382531166077,90.32,0.3221284640558064
82,ff,2,1,4,n,25.110554456710815,35.49666666666667,1.9827759306907653
83,ff,2,2,3,y,12.933754205703735,62.60166666666667,1.5337542319933573
84,conv,2,1,10,n,127.1956856250763,89.96833333333333,0.3288381207396587
85,ff,2,1,16,n,40.479963541030884,56.5,1.7014183145999908
86,ff,2,1,15,n,61.24237608909607,45.88166666666667,2.1032540342966715
87,conv,2,1,12,n,146.6629502773285,89.935,0.32524690989380084
88,conv,2,2,13,y,101.41268658638,90.17166666666667,0.3268104762926698
89,conv,2,1,12,n,146.69926953315735,90.93166666666667,0.3035682958006859
90,conv,2,1,16,n,149.13519835472107,91.45333333333333,0.29491070363422234
91,conv,2,2,4,y,34.38118577003479,90.705,0.3093804780863225
92,conv,2,2,15,y,130.79312872886658,90.42,0.31571387780668836
93,conv,2,1,14,n,169.99596285820007,89.02333333333333,0.3533698892074327
94,ff,2,2,4,y,15.685455799102783,51.751666666666665,1.7685841591199238
95,ff,2,1,4,n,24.692580938339233,48.72833333333333,1.806900177717209
96,ff,2,2,14,y,58.861199378967285,47.635,1.8601553146998087
97,conv,2,1,11,n,137.50204396247864,90.79666666666667,0.3102728684023023
98,ff,2,2,2,y,11.875364542007446,52.83833333333333,1.651650842777888
99,ff,2,2,3,y,12.757324457168579,48.115,1.8586182567596436
100,ff,2,2,15,y,63.481202125549316,59.36666666666667,1.7026642440478006
101,conv,2,1,7,n,109.92537903785706,92.185,0.2697972889850537
102,ff,2,2,12,y,49.01250100135803,45.751666666666665,1.881340560054779
103,ff,2,2,6,y,23.697162866592407,55.60333333333333,1.8056116868495942
104,ff,2,2,8,y,32.98470377922058,45.56333333333333,2.13544393936793
105,conv,2,2,14,y,121.99317979812622,90.22833333333334,0.3282908939105769
106,ff,2,1,6,n,35.83585834503174,56.76166666666666,1.4939729830106099
107,ff,2,1,12,n,51.54617691040039,50.153333333333336,1.7318233017921447
108,ff,2,2,7,y,27.9360191822052,47.065,2.0283668645858763
109,ff,2,1,1,n,20.393749237060547,51.28,1.9252948451360066
110,ff,2,2,9,y,35.405457496643066,50.63666666666666,1.6558215303579966
111,conv,2,2,7,y,69.13087487220764,91.05,0.30740413925486304
112,conv,2,1,1,n,58.04145789146423,90.95,0.3074365556369225
113,ff,2,2,5,y,19.874611377716064,35.85666666666667,2.0026338066736855
114,ff,2,2,13,y,54.09127998352051,52.58,1.8587563345591227
115,ff,2,1,14,n,57.27713918685913,42.876666666666665,1.9602767153422038
116,conv,2,1,6,n,89.54557061195374,90.94333333333333,0.3074389655997356
117,conv,2,1,13,n,158.8876669406891,90.08333333333333,0.3275219430707395
118,conv,2,2,5,y,43.56570887565613,90.66,0.3107812075321873
119,ff,2,2,2,y,10.814671993255615,46.67,2.0398192443211873
120,ff,2,2,14,y,58.85490322113037,49.72,1.9976516996065776
121,conv,2,2,11,y,83.17588233947754,90.75666666666666,0.3132526329639057
122,conv,2,1,11,n,137.4622299671173,89.63333333333334,0.3488440623379002
123,conv,2,1,6,n,89.63284945487976,90.455,0.3127739597740273
