,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss,batch_size
84,conv,2,4,6,y,8.772266149520874,16.261666666666667,2.2898911403973896,256
85,conv,2,4,6,y,10.44089126586914,45.461666666666666,2.216652119572957,128
86,conv,2,3,14,y,129.40902614593506,90.81666666666666,0.30877922331268587,12
87,conv,2,2,15,y,51.72684121131897,83.88,0.5713244569003582,32
88,conv,2,3,13,y,14.948015451431274,44.275,2.198822358767192,128
89,conv,2,3,6,y,9.710160255432129,40.355,2.2155811275482176,256
90,conv,2,2,12,y,16.93369770050049,51.75,2.187202555497487,128
91,conv,2,4,10,y,64.46391916275024,89.87333333333333,0.33904780355244873,12
92,conv,2,2,8,y,28.886680841445923,86.825,0.4745578650832176,32
93,conv,2,2,11,y,23.991239547729492,74.805,1.6004482970078786,64
94,conv,2,4,2,y,11.81988000869751,86.01333333333334,0.5186274412671725,32
95,conv,2,4,3,y,16.652519464492798,91.39833333333333,0.2935359933520357,12
96,conv,2,4,16,y,33.44963550567627,37.555,2.25048766857783,128
97,conv,2,3,4,y,10.450987815856934,13.285,2.282775719579061,128
98,conv,2,3,12,y,41.68669509887695,83.42,0.6237528998355071,32
99,conv,2,4,2,y,10.245333194732666,77.36666666666666,0.9925062699556351,64
100,conv,2,4,4,y,9.281776428222656,73.43166666666667,1.4042493139266967,64
101,conv,2,2,3,y,14.732084274291992,57.98166666666667,2.1511452924728394,64
102,conv,2,2,5,y,15.138194561004639,61.10666666666667,2.069540664323171,64
103,conv,2,4,11,y,17.956463098526,59.81666666666667,2.0792093138694763,128
104,conv,2,2,14,y,44.997756004333496,84.12,0.5841304522474606,32
105,conv,2,3,10,y,64.84353828430176,90.91833333333334,0.306183117471387,12
106,conv,2,4,13,y,108.70844197273254,90.93166666666667,0.29478111881663405,12
107,conv,2,3,2,y,12.406954526901245,71.64166666666667,1.6447668318589528,64
108,conv,2,4,13,y,109.27916836738586,90.95333333333333,0.30253774819324414,12
109,conv,2,4,5,y,57.49612784385681,91.36666666666666,0.2884874604587754,12
110,conv,2,2,2,y,17.577680587768555,65.175,1.8967980353355407,64
111,conv,2,4,13,y,15.578772783279419,35.526666666666664,2.252115871429443,128
112,conv,2,4,15,y,22.325584888458252,47.891666666666666,2.2212810809135437,128
113,conv,2,2,10,y,35.52972912788391,85.20166666666667,0.530671591724952,32
114,conv,2,3,5,y,40.91447305679321,90.35,0.3258719044131537,12
115,conv,2,3,4,y,13.592026233673096,44.858333333333334,2.252010278447469,32
116,conv,2,3,13,y,44.17897391319275,80.62166666666667,0.7566687798817953,32
117,conv,2,4,9,y,10.849242687225342,42.05,2.2400324628829957,128
118,conv,2,2,4,y,17.434463024139404,86.62833333333333,0.4838728019287189,32
